id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
34023925,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7112,973,409432,0,40.7096953,-74.2159388,61107,51326,50108,234.2517618
34023935,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7112,973,2364831,0,40.6993921,-74.202873,28040,13464,40135,568.7902245
34023945,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7112,973,268643,0,40.7191637,-74.2131884,49945,49864,26013,128.260757
34023955,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7108,973,161941,0,40.7270642,-74.1871371,43998,38712,31229,354.0158929
34023965,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7105,973,397128,0,40.7223247,-74.1612616,50751,41857,39394,638.0496657
34023975,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7105,973,3701996,665362,40.7180744,-74.1338723,0,0,0,0
34023985,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7105,973,198794,0,40.7282829,-74.1598158,50408,300000,37451,396.359944
34023995,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7102,973,806564,0,40.7341337,-74.1767784,40963,37574,32478,533.0828748
34024005,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7104,973,442720,39927,40.761005,-74.17987,43578,32918,40816,403.219807
34024015,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7104,973,603400,0,40.7741049,-74.1674883,36890,23992,40569,243.4830057
34024495,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7103,973,316961,0,40.7333863,-74.1842926,25940,14374,27459,342.0106022
34024505,34,New Jersey,NJ,Atlantic County,Newark,Absecon city,Track,Track,7108,973,524194,0,40.7187885,-74.1936395,28659,19758,26350,407.6533421
